month,broadband_connections,no_of_subscriptions
2014-12,Cable Modem,503828
2014-12,Fibre Based,650973
2015-01,DSL,184124
2015-01,Cable Modem,498617
2015-01,Fibre Based,666689
2015-02,DSL,177085
2015-02,Cable Modem,492345
2015-02,Fibre Based,680371
2015-03,DSL,169283
2015-03,Cable Modem,486158
2015-03,Fibre Based,697174
2015-04,DSL,163198
2015-04,Cable Modem,478451
2015-04,Fibre Based,713274
2015-05,DSL,156879
2015-05,Cable Modem,470066
2015-05,Fibre Based,729044
2015-06,DSL,150772
2015-06,Cable Modem,460040
2015-06,Fibre Based,747458
2015-07,DSL,143915
2015-07,Cable Modem,449381
2015-07,Fibre Based,765038
2015-08,DSL,137840
2015-08,Cable Modem,439683
2015-08,Fibre Based,783475
2015-09,DSL,131900
2015-09,Cable Modem,428500
2015-09,Fibre Based,805000
2015-10,DSL,125800
2015-10,Cable Modem,413600
2015-10,Fibre Based,822100
2015-11,DSL,120600
2015-11,Cable Modem,401600
2015-11,Fibre Based,839000
2015-12,DSL,115000
2015-12,Cable Modem,387100
2015-12,Fibre Based,857700
2016-01,DSL,110100
2016-01,Cable Modem,373700
2016-01,Fibre Based,875600
2016-02,DSL,106400
2016-02,Cable Modem,360200
2016-02,Fibre Based,891400
2016-03,DSL,102500
2016-03,Cable Modem,344200
2016-03,Fibre Based,911000
2016-04,DSL,97300
2016-04,Cable Modem,330200
2016-04,Fibre Based,930800
2016-05,DSL,91700
2016-05,Cable Modem,316800
2016-05,Fibre Based,948400
2016-06,DSL,77100
2016-06,Cable Modem,302800
2016-06,Fibre Based,967900
2016-07,DSL,73300
2016-07,Cable Modem,290300
2016-07,Fibre Based,981100
2016-08,DSL,58100
2016-08,Cable Modem,279100
2016-08,Fibre Based,995900
2016-09,DSL,55500
2016-09,Cable Modem,269200
2016-09,Fibre Based,1009500
2016-10,DSL,52900
2016-10,Cable Modem,261200
2016-10,Fibre Based,1019900
2016-11,DSL,50700
2016-11,Cable Modem,253300
2016-11,Fibre Based,1033400
2016-12,DSL,48300
2016-12,Cable Modem,243900
2016-12,Fibre Based,1043700
2017-01,DSL,46200
2017-01,Cable Modem,235800
2017-01,Fibre Based,1055800
2017-02,DSL,44300
2017-02,Cable Modem,229400
2017-02,Fibre Based,1064200
2017-03,DSL,42100
2017-03,Cable Modem,222300
2017-03,Fibre Based,1075100
2017-04,DSL,40000
2017-04,Cable Modem,216500
2017-04,Fibre Based,1083000
2017-05,DSL,37400
2017-05,Cable Modem,209000
2017-05,Fibre Based,1090100
2017-06,DSL,35800
2017-06,Cable Modem,206600
2017-06,Fibre Based,1097400
2017-07,DSL,34300
2017-07,Cable Modem,201400
2017-07,Fibre Based,1104200
2017-08,DSL,33000
2017-08,Cable Modem,197000
2017-08,Fibre Based,1111500
2017-09,DSL,31600
2017-09,Cable Modem,193400
2017-09,Fibre Based,1118300
2017-10,DSL,30200
2017-10,Cable Modem,189600
2017-10,Fibre Based,1124400
2017-11,DSL,27600
2017-11,Cable Modem,185800
2017-11,Fibre Based,1130300
2017-12,DSL,26200
2017-12,Cable Modem,180300
2017-12,Fibre Based,1136700
2018-01,DSL,23500
2018-01,Cable Modem,176100
2018-01,Fibre Based,1144500
2018-02,DSL,21700
2018-02,Cable Modem,172600
2018-02,Fibre Based,1150500
2018-03,DSL,19500
