 Subject: Transport 
 Topic : Land Transport 
" Title  : M650391 - Motor Vehicle Population By Type Of Vehicle (End Of Period), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Number
 Variables , 1961 , 1962 , 1963 , 1964 , 1965 , 1966 , 1967 , 1968 , 1969 , 1970 , 1971 , 1972 , 1973 , 1974 , 1975 , 1976 , 1977 , 1978 , 1979 , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
 Total ," 117,936 "," 133,645 "," 153,004 "," 171,502 "," 192,422 "," 211,735 "," 229,544 "," 246,427 "," 267,582 "," 290,208 "," 313,907 "," 337,147 "," 367,737 "," 276,866 "," 280,378 "," 279,864 "," 289,954 "," 309,384 "," 338,729 "," 371,341 "," 401,805 "," 440,276 "," 476,288 "," 491,322 "," 486,760 "," 473,659 "," 471,124 "," 491,808 "," 520,537 "," 542,352 "," 559,304 "," 557,584 "," 584,322 "," 611,611 "," 642,129 "," 668,304 "," 683,204 "," 681,081 "," 688,811 "," 692,807 "," 708,370 "," 706,956 "," 711,043 "," 727,395 "," 754,992 "," 799,373 "," 851,336 "," 894,682 "," 925,518 "," 945,829 "," 956,704 "," 969,910 "," 974,170 "," 972,037 "," 957,246 "," 956,430 "," 961,842 "," 957,006 "," 973,101 ",
     Private & Company Cars ," 70,108 "," 77,379 "," 85,668 "," 95,349 "," 104,729 "," 113,287 "," 116,097 "," 121,106 "," 130,088 "," 142,568 "," 155,956 "," 168,991 "," 187,972 "," 142,674 "," 142,045 "," 135,499 "," 134,903 "," 137,240 "," 143,402 "," 152,574 "," 161,692 "," 179,635 "," 202,092 "," 217,119 "," 221,279 "," 220,566 "," 222,487 "," 237,801 "," 257,371 "," 271,174 "," 283,746 "," 285,500 "," 303,864 "," 321,556 "," 342,245 "," 362,142 "," 373,345 "," 370,804 "," 378,024 "," 386,780 "," 398,787 "," 398,166 "," 399,923 "," 412,015 "," 432,827 "," 465,482 "," 505,987 "," 540,455 "," 566,608 "," 584,399 "," 592,361 "," 605,149 "," 607,292 "," 600,176 "," 575,353 "," 552,427 "," 546,706 "," 551,575 "," 555,540 ",
     Private Hire Cars * , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 3,506 "," 4,515 "," 4,168 "," 4,159 "," 4,030 "," 3,314 "," 3,081 "," 3,140 "," 3,135 "," 3,343 "," 3,665 "," 3,879 "," 4,141 "," 4,341 "," 5,144 "," 5,451 "," 6,152 "," 6,536 "," 7,112 "," 8,438 "," 8,857 "," 8,423 "," 7,803 "," 7,455 "," 7,756 "," 9,235 "," 11,054 "," 12,391 "," 12,763 "," 13,347 "," 13,919 "," 14,862 "," 16,396 "," 18,847 "," 29,369 "," 51,336 "," 68,083 "," 66,480 "," 77,141 ",
     Taxis , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 9,869 "," 10,283 "," 10,673 "," 11,062 "," 10,941 "," 10,677 "," 10,552 "," 10,473 "," 10,652 "," 12,239 "," 12,705 "," 13,445 "," 13,917 "," 14,750 "," 16,517 "," 16,857 "," 16,933 "," 17,886 "," 18,029 "," 18,327 "," 18,798 "," 19,106 "," 19,384 "," 20,407 "," 22,383 "," 23,334 "," 24,446 "," 24,300 "," 24,702 "," 26,073 "," 27,051 "," 28,210 "," 27,695 "," 28,736 "," 28,259 "," 27,534 "," 23,140 "," 20,581 "," 18,542 ",
     Buses ," 1,375 "," 1,433 "," 1,492 "," 1,586 "," 1,617 "," 1,660 "," 1,821 "," 1,907 "," 2,096 "," 2,298 "," 2,681 "," 2,936 "," 4,775 "," 4,779 "," 4,935 "," 5,217 "," 5,442 "," 5,874 "," 6,217 "," 6,512 "," 6,950 "," 7,585 "," 7,985 "," 8,283 "," 8,717 "," 8,638 "," 8,733 "," 8,924 "," 9,126 "," 9,448 "," 9,478 "," 9,658 "," 9,716 "," 10,198 "," 10,723 "," 10,998 "," 11,240 "," 11,429 "," 11,827 "," 12,569 "," 12,902 "," 12,992 "," 12,951 "," 13,173 "," 13,494 "," 14,120 "," 14,530 "," 15,327 "," 16,023 "," 16,309 "," 17,046 "," 17,162 "," 17,509 "," 17,554 "," 18,183 "," 18,804 "," 19,285 "," 19,379 "," 19,661 ",
     Motorcycles & Scooters ," 28,205 "," 35,336 "," 44,926 "," 52,412 "," 60,838 "," 68,746 "," 80,940 "," 90,283 "," 99,265 "," 105,214 "," 109,655 "," 115,619 "," 122,714 "," 84,849 "," 83,145 "," 84,016 "," 89,840 "," 98,248 "," 108,051 "," 118,345 "," 127,722 "," 136,899 "," 141,569 "," 134,693 "," 127,564 "," 120,387 "," 116,544 "," 117,570 "," 120,996 "," 122,525 "," 122,410 "," 116,532 "," 119,939 "," 126,156 "," 129,587 "," 132,344 "," 132,629 "," 133,375 "," 134,346 "," 131,937 "," 131,869 "," 132,318 "," 135,649 "," 137,029 "," 139,434 "," 142,736 "," 144,340 "," 146,120 "," 147,215 "," 148,160 "," 146,559 "," 144,110 "," 144,934 "," 145,026 "," 143,900 "," 143,052 "," 141,916 "," 137,480 "," 140,891 ",
