" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
"         Community, Social & Personal Services ", 34.3 , 37 , 37 , 34.7 , 34.7 , 34 , 33.5 , 35.9 , 37.6 , 40.5 , 39.3 , 43.4 , 44.7 , 51.5 , 52.8 , 47.8 , 52.2 , 48.4 , 51.7 , 50.6 , 54.4 , 56.5 , 54.4 , 59.1 , 57.9 , 62.1 , 69.5 , 67.4 , 66.1 , 66.1 ,
             Public Administration & Education , 20 , - , - , - , - , 17.3 , - , - , 22.9 , 24.7 , 25.8 , 28 , 29.6 , 36.2 , 36.5 , 32.7 , 34.4 , 32 , 32.6 , 31.3 , 34.4 , 34.1 , 33.7 , 35.3 , 32.8 , 35.5 , 38.6 , 39 , 36.6 , 35.5 ,
             Health & Social Services , 5.5 , - , - , - , - , 5.8 , - , - , 5.8 , 5.9 , 6 , 6.6 , 6.6 , 7.2 , 8.4 , 7.6 , 9.4 , 8.5 , 11 , 11 , 11 , 11.6 , 11.8 , 13.3 , 15.7 , 15.1 , 19 , 19.3 , 19.4 , 22.4 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 4.8 , 5.6 , 5.1 , 5.8 , 5.1 , 5.5 , 6.6 , 4.6 , 4.8 , 3.9 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 8.8 , 8.5 , 8.1 , 7.9 , - , - , - , - , - , 4.2 , 5.2 , 3.8 , 4.7 , 4.3 , 6 , 5.3 , 4.5 , 5.3 , 4.3 ,
     Other Industries Nes * , 2.1 , 1.1 , 1.4 , 1.1 , 1.1 , 1.7 , 0.7 , 1.5 , 1.2 , 0.9 , 1.3 , 1.5 , 1.4 , 1.2 , 1.5 , 1.7 , 2 , 1.4 , 1.6 , 2 , 3.2 , 2.2 , 2.2 , 2.2 , 2.3 , 2.1 , 2 , 2.1 , 2.2 , 2.4 ,
 Employed Residents Aged 30 - 34 Years , 227.4 , 225.8 , 231.7 , 222.6 , 229.3 , 224.7 , 240.2 , 236.6 , 234.4 , 236.8 , 222.9 , 228.2 , 228.3 , 233.3 , 232.4 , 239.5 , 237.7 , 237.8 , 235.3 , 237.3 , 245.7 , 241.3 , 238.3 , 241 , 242.1 , 236.3 , 237 , 236.2 , 234 , 246 ,
     Manufacturing , 65 , 68.3 , 69.3 , 67.5 , 68 , 55.5 , 67.5 , 66.2 , 61.7 , 62.3 , 52.8 , 54.1 , 48.4 , 51.8 , 46.9 , 44.1 , 44.3 , 47.1 , 42.5 , 41.6 , 42.1 , 39.8 , 35.5 , 32.9 , 26.5 , 25.6 , 22.6 , 18.6 , 18.5 , 18.6 ,
     Construction , 16.6 , 19 , 18.7 , 17.1 , 19.6 , 17.3 , 18.7 , 17.6 , 19.9 , 19.4 , 14.2 , 14.1 , 11.9 , 13.3 , 11.3 , 10.1 , 9.2 , 10 , 9.4 , 10.9 , 10.6 , 8.5 , 7.1 , 7.9 , 8 , 9.8 , 7.4 , 9.6 , 8.7 , 7.2 ,
     Services , 143 , 136.6 , 141.8 , 136.7 , 140.2 , 149 , 152.9 , 151.2 , 151.6 , 153.3 , 154.7 , 158.9 , 166.6 , 166.4 , 172.5 , 183.4 , 181.4 , 178.4 , 181.1 , 182.5 , 188.6 , 190 , 192.9 , 197.5 , 205.2 , 198.9 , 204.6 , 205.9 , 204 , 217 ,
         Wholesale & Retail Trade * , 42 , 52.3 , 52.7 , 52.8 , 50.8 , 37.7 , 54.6 , 49.4 , 38 , 36.9 , 39.1 , 35.9 , 39.6 , 34.5 , 41.3 , 44 , 38.7 , 33.1 , 33.8 , 31 , 30.4 , 32.8 , 32.1 , 31.3 , 34.5 , 37.5 , 36.1 , 34.4 , 34.6 , 36.3 ,
         Transportation & Storage * , 21.8 , 24 , 24.5 , 22.1 , 22.5 , 19 , 22 , 22.3 , 23.3 , 22.2 , 18.2 , 24.1 , 23.4 , 24.1 , 23.1 , 18.5 , 17.6 , 17.4 , 16.4 , 14.9 , 18.7 , 17.1 , 15.6 , 17.5 , 16.2 , 15.9 , 16.4 , 14.7 , 17.6 , 17.8 ,
         Accommodation & Food Services , 11.9 , - , - , - , - , 10.8 , - , - , 10.3 , 10.5 , 8.2 , 8.7 , 7.7 , 8.3 , 8.4 , 8.3 , 9.2 , 9.6 , 8.3 , 10.2 , 10.4 , 9.2 , 8.8 , 9.5 , 9.5 , 8.4 , 8.1 , 9.1 , 8.9 , 7.7 ,
         Information & Communications , 5.4 , - , - , - , - , 7.3 , - , - , - , - , 11.8 , - , - , - , - , 16 , 18.2 , 20.2 , 18.3 , 22 , 19 , 16.9 , 16.3 , 18.2 , 16.1 , 13.9 , 14.6 , 14.6 , 14.4 , 17.2 ,
         Financial & Insurance Services * , 11.5 , 28.2 , 30.8 , 28.9 , 33.1 , 15.1 , 43.2 , 42.9 , 17.9 , 17.4 , 17.3 , 17.7 , 19.1 , 19 , 19.8 , 21.5 , 21.5 , 20.8 , 23.4 , 23.6 , 24 , 26.2 , 28 , 28.2 , 29.8 , 28.5 , 31.9 , 31.5 , 29.4 , 31.7 ,
         Business Services , 19.8 , - , - , - , - , 24.6 , - , - , 26.4 , 29.1 , 26.2 , 36.5 , 35.1 , 37.5 , 37.1 , 32.4 , 29.5 , 30.2 , 33.6 , 32.1 , 30.8 , 34.7 , 35.2 , 34.5 , 38.4 , 39.1 , 37.6 , 38.7 , 38.3 , 39.8 ,
             Real Estate Services , 6.4 , - , - , - , - , 7 , - , - , - , - , 5.9 , - , - , - , - , 6 , 5.4 , 5.5 , 6.7 , 6.1 , 5.7 , 6.7 , 6 , 5.5 , 6 , 5.2 , 5.2 , 6.9 , 5.2 , 5 ,
             Professional Services , 8.7 , - , - , - , - , 12.9 , - , - , - , - , 14.3 , - , - , - , - , 18.4 , 17.1 , 17.5 , 19.3 , 18.2 , 17.4 , 19.7 , 20.3 , 20.7 , 23.3 , 24.6 , 22.8 , 22.8 , 24 , 25.6 ,
             Administrative & Support Services , 4.6 , - , - , - , - , 4.7 , - , - , - , - , 6.1 , - , - , - , - , 7.9 , 7 , 7.2 , 7.6 , 7.8 , 7.7 , 8.3 , 8.9 , 8.3 , 9.1 , 9.3 , 9.6 , 9 , 9.1 , 9.2 ,
"         Community, Social & Personal Services ", 30.6 , 32.1 , 33.8 , 32.9 , 33.8 , 34.5 , 33.1 , 36.6 , 35.7 , 37.2 , 33.8 , 35.9 , 41.6 , 43 , 42.7 , 42.7 , 46.8 , 47.1 , 47.3 , 48.8 , 55.4 , 53.1 , 56.8 , 58.2 , 60.7 , 55.7 , 60 , 62.9 , 60.8 , 66.8 ,
             Public Administration & Education , 17.1 , - , - , - , - , 16.6 , - , - , 19.5 , 19.4 , 17.9 , 19.2 , 24.4 , 25.6 , 24.6 , 25.9 , 29.6 , 31.3 , 29.7 , 29.8 , 33.7 , 32.6 , 35.4 , 35.7 , 36.6 , 33.7 , 34.3 , 35.6 , 33 , 36.3 ,
             Health & Social Services , 5.1 , - , - , - , - , 5.9 , - , - , 6.9 , 6.9 , 7.1 , 7.8 , 7.3 , 7.6 , 8 , 7.8 , 8.8 , 8.5 , 8.5 , 9.7 , 11.9 , 10.5 , 11.1 , 11.7 , 14.1 , 13.5 , 15 , 16.7 , 17.6 , 18.9 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 3.9 , 4.3 , 4.4 , 5.1 , 4.3 , 4 , 5.1 , 5.5 , 5 , 4.3 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 8.9 , 9.9 , 9.8 , 10.1 , - , - , - , - , - , 5.9 , 5.7 , 5.9 , 5.7 , 5.7 , 4.5 , 5.6 , 5.1 , 5.2 , 7.3 ,
     Other Industries Nes * , 2.9 , 1.8 , 1.9 , 1.2 , 1.5 , 2.8 , 1 , 1.6 , 1.4 , 1.8 , 1.2 , 1.2 , 1.3 , 1.7 , 1.8 , 2 , 2.9 , 2.3 , 2.3 , 2.3 , 4.3 , 3 , 2.8 , 2.7 , 2.4 , 2 , 2.4 , 2.2 , 2.8 , 3 ,
 Employed Residents Aged 35 - 39 Years , 190 , 198.4 , 201.6 , 211.1 , 223.7 , 227.2 , 236.7 , 234.1 , 240.5 , 236.7 , 235.2 , 248.2 , 245.2 , 239.1 , 229.1 , 239.4 , 241.4 , 241.7 , 256.8 , 255.7 , 267.2 , 260.3 , 259 , 253.8 , 248.6 , 261 , 250.3 , 265.9 , 263.1 , 259.8 ,
     Manufacturing , 53.8 , 61.3 , 59.3 , 63.4 , 63.8 , 53.8 , 62.1 , 61.9 , 59.3 , 59.1 , 54.3 , 57.4 , 57.6 , 56.7 , 53.2 , 48.9 , 49.4 , 51.5 , 53.3 , 49.1 , 47.9 , 44.5 , 42.8 , 40.7 , 35.3 , 32 , 28.1 , 30.6 , 29.5 , 25.1 ,
     Construction , 13.3 , 15.3 , 17.1 , 17.9 , 18.8 , 18 , 19.4 , 21.8 , 22.3 , 22 , 19 , 21 , 18.5 , 16.7 , 14.7 , 12.9 , 13.8 , 14.7 , 13.5 , 15.8 , 13.5 , 12.7 , 12 , 11.3 , 8.4 , 10.2 , 11.1 , 10.9 , 10.6 , 9.4 ,
     Services , 119.8 , 119.9 , 123.3 , 127.8 , 138.7 , 151.3 , 153.4 , 147.9 , 156.5 , 153.3 , 160 , 168.1 , 167.2 , 163.7 , 159.9 , 175.4 , 175.2 , 173.2 , 186.3 , 188.2 , 200.2 , 200.5 , 201.4 , 198.6 , 201.5 , 216.1 , 209 , 221.8 , 221 , 222.7 ,
         Wholesale & Retail Trade * , 32.9 , 45.2 , 45.9 , 47.8 , 51.8 , 36.8 , 55.8 , 50.2 , 41 , 37.9 , 42.2 , 41.1 , 42.8 , 40.4 , 38.1 , 46.7 , 41.7 , 36.3 , 36 , 37.1 , 36.4 , 39.8 , 40.4 , 37 , 41.3 , 48.4 , 42 , 44.4 , 44.5 , 40.4 ,
         Transportation & Storage * , 22.5 , 25.6 , 25.7 , 25.6 , 28 , 24.8 , 28.9 , 28.1 , 25.7 , 25.3 , 21.8 , 27.8 , 26.6 , 23.3 , 23.6 , 20.2 , 19.8 , 18.5 , 19.5 , 19 , 21.6 , 17.7 , 18.2 , 18.9 , 17.3 , 17.7 , 18.5 , 19.9 , 18.4 , 18.4 ,
         Accommodation & Food Services , 12.1 , - , - , - , - , 12.4 , - , - , 11.9 , 12 , 11.4 , 12.6 , 11.8 , 11.6 , 10.5 , 10.6 , 10.1 , 9.8 , 10.9 , 10.2 , 11.4 , 12.9 , 9.3 , 10.1 , 10.6 , 11.4 , 10.5 , 10.2 , 9.4 , 10.1 ,
         Information & Communications , 4 , - , - , - , - , 7.2 , - , - , - , - , 8.1 , - , - , - , - , 11 , 14.5 , 16.5 , 15.9 , 18 , 21.2 , 17.3 , 17.2 , 17.9 , 15.5 , 14.9 , 13.8 , 14.4 , 15 , 16.1 ,
         Financial & Insurance Services * , 7.9 , 20.6 , 21.6 , 23.6 , 26.6 , 12.2 , 33.9 , 35.1 , 15.6 , 15.2 , 15.2 , 15.7 , 16.2 , 16.5 , 17.1 , 17.2 , 17.4 , 20.3 , 23.8 , 22.5 , 23.7 , 25.2 , 24.7 , 23.4 , 28.2 , 27.7 , 29.2 , 33.1 , 30.7 , 32.9 ,
         Business Services , 15.7 , - , - , - , - , 23.8 , - , - , 24.7 , 25.6 , 26.8 , 31.5 , 29.5 , 31.3 , 31.7 , 30.7 , 30.7 , 30.3 , 33.6 , 33.3 , 33.4 , 36.6 , 39.4 , 35.8 , 35.8 , 41.7 , 38 , 39.7 , 41.3 , 43.3 ,
             Real Estate Services , 6 , - , - , - , - , 7.5 , - , - , - , - , 7.5 , - , - , - , - , 6.2 , 5.3 , 6 , 6.4 , 7.1 , 6.2 , 7.2 , 7.5 , 6.7 , 6.8 , 6.7 , 5.6 , 7.6 , 6.4 , 6.5 ,
             Professional Services , 6.1 , - , - , - , - , 11.3 , - , - , - , - , 12.9 , - , - , - , - , 16.1 , 17.5 , 15.9 , 18.8 , 18 , 18.3 , 20.1 , 22 , 20.7 , 20.5 , 25.2 , 21.4 , 22.5 , 24.5 , 26 ,
             Administrative & Support Services , 3.6 , - , - , - , - , 4.9 , - , - , - , - , 6.4 , - , - , - , - , 8.4 , 7.9 , 8.4 , 8.4 , 8.2 , 8.9 , 9.3 , 9.9 , 8.4 , 8.5 , 9.8 , 11 , 9.6 , 10.4 , 10.8 ,
"         Community, Social & Personal Services ", 24.9 , 28.5 , 30.1 , 30.8 , 32.3 , 34.2 , 34.8 , 34.5 , 37.6 , 37.3 , 34.5 , 39.5 , 40.4 , 40.6 , 39 , 39 , 41 , 41.4 , 46.5 , 48.1 , 52.4 , 51.1 , 52.4 , 55.5 , 52.6 , 54.3 , 57.1 , 60.2 , 61.7 , 61.6 ,
             Public Administration & Education , 13.6 , - , - , - , - , 16.5 , - , - , 19.7 , 18.9 , 18 , 18.7 , 20.4 , 22.1 , 20.3 , 20.6 , 23.5 , 22.4 , 26.1 , 28.2 , 31 , 31.3 , 29.9 , 34 , 30.4 , 32.7 , 34.6 , 35.1 , 35.5 , 35.5 ,
             Health & Social Services , 4.2 , - , - , - , - , 5.9 , - , - , 6 , 6.3 , 6.6 , 8 , 8.5 , 8.3 , 8.5 , 8.4 , 8.8 , 9.8 , 10.5 , 9.7 , 10 , 10.1 , 10.8 , 10.7 , 11.2 , 10.7 , 12.5 , 14.5 , 15.3 , 15.1 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 4 , 3.7 , 5.1 , 4.2 , 4.1 , 4.4 , 4.4 , 4.5 , 3.8 , 4.6 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 12.8 , 11.5 , 10.2 , 10.2 , - , - , - , - , - , 7.4 , 6 , 6.6 , 6.6 , 6.9 , 6.5 , 5.6 , 6.1 , 7.1 , 6.4 ,
     Other Industries Nes * , 3.1 , 2 , 1.9 , 2 , 2.5 , 4.1 , 1.8 , 2.6 , 2.5 , 2.3 , 1.9 , 1.7 , 1.9 , 2 , 1.4 , 2.2 , 2.9 , 2.3 , 3.8 , 2.6 , 5.6 , 2.7 , 2.9 , 3.3 , 3.5 , 2.7 , 2.1 , 2.6 , 2 , 2.5 ,
 Employed Residents Aged 40 - 44 Years , 151.1 , 169 , 173.8 , 187 , 186.9 , 196.5 , 211.2 , 218.6 , 230.1 , 226.3 , 225.7 , 242.2 , 239.3 , 238.6 , 246.8 , 247.3 , 256.1 , 249.4 , 253.6 , 251.2 , 246 , 249.4 , 258.4 , 258.5 , 257.2 , 268.3 , 260.3 , 271.5 , 271.1 , 262 ,
     Manufacturing , 38.3 , 47.7 , 49 , 52.9 , 51.2 , 47.7 , 54.8 , 53.6 , 53.1 , 53.9 , 48.1 , 53.2 , 53 , 50 , 51.6 , 47.3 , 54.1 , 48.9 , 51.7 , 48.1 , 48.4 , 43.8 , 43.7 , 42.3 , 36.9 , 37.5 , 33.8 , 34.1 , 36.2 , 29.4 ,
     Construction , 9.9 , 12 , 12.8 , 13.3 , 15 , 14.8 , 16.7 , 18.1 , 20.9 , 20 , 17.8 , 21.1 , 20.1 , 20.1 , 20.3 , 17.7 , 18.6 , 17.3 , 19.5 , 18.4 , 15 , 14.3 , 14.1 , 13.1 , 12.3 , 13.1 , 12.2 , 12.6 , 12.6 , 10.6 ,
     Services , 99.8 , 107.8 , 110.2 , 118.4 , 118.6 , 129.9 , 138.5 , 144.3 , 153.8 , 149.8 , 157.6 , 165.5 , 164.7 , 166.7 , 172.8 , 179.8 , 180.7 , 180.3 , 179.4 , 182 , 177.9 , 189 , 197.6 , 199.3 , 205.4 , 215 , 212.1 , 221.9 , 219.8 , 219.2 ,
         Wholesale & Retail Trade * , 26 , 41 , 43.6 , 46.2 , 46.1 , 30.2 , 52.1 , 51.1 , 36.3 , 37 , 40.7 , 41.4 , 39.6 , 39.1 , 44.9 , 49 , 47.2 , 41.1 , 38.1 , 40.8 , 38.6 , 38.2 , 41.7 , 39.7 , 46.1 , 48.2 , 46.8 , 45.1 , 45.6 , 43.7 ,
         Transportation & Storage * , 18.4 , 21 , 21.5 , 25.1 , 26.2 , 24.6 , 31.1 , 30.9 , 31 , 30.5 , 26.2 , 30.9 , 29.6 , 29 , 26.6 , 24.1 , 23.7 , 24.7 , 24.4 , 24.3 , 22.7 , 21.6 , 21.1 , 20.7 , 19.1 , 20.6 , 19.7 , 21.1 , 20.9 , 20.3 ,
         Accommodation & Food Services , 12.6 , - , - , - , - , 14.3 , - , - , 16 , 14.8 , 14.6 , 15.7 , 15 , 15 , 15.4 , 14.9 , 17.1 , 14.6 , 13.9 , 13.3 , 13.8 , 12.2 , 13 , 12.5 , 12.9 , 13.4 , 11.9 , 12.7 , 12 , 11.6 ,
         Information & Communications , 2 , - , - , - , - , 5.1 , - , - , - , - , 7 , - , - , - , - , 8 , 8.5 , 11.7 , 12.4 , 13.6 , 13.4 , 12.2 , 13 , 15.4 , 14 , 14.1 , 13.5 , 15.9 , 15 , 14.7 ,
         Financial & Insurance Services * , 5 , 16.3 , 16.7 , 17.9 , 19.3 , 7.9 , 23.8 , 27.6 , 11.6 , 10.7 , 11.1 , 11.6 , 12.8 , 12.1 , 13.1 , 14.4 , 14.2 , 16.3 , 15.8 , 15.9 , 15.6 , 21 , 22.5 , 23.7 , 23.9 , 24.5 , 26.7 , 26.4 , 28.1 , 32.5 ,
         Business Services , 11.3 , - , - , - , - , 19.3 , - , - , 20.9 , 19.5 , 24 , 25.2 , 28 , 29.2 , 30.2 , 29 , 28.7 , 29.2 , 30.9 , 32.1 , 28 , 36.8 , 35.8 , 37.1 , 37.4 , 39.4 , 39.2 , 42.9 , 38.6 , 38.8 ,
             Real Estate Services , 4.7 , - , - , - , - , 7 , - , - , - , - , 7.3 , - , - , - , - , 6.4 , 6.1 , 6.1 , 6.1 , 6.5 , 4.6 , 6.9 , 6.9 , 7 , 7.7 , 7 , 7.1 , 6.4 , 6.1 , 5.3 ,
             Professional Services , 3.9 , - , - , - , - , 8.2 , - , - , - , - , 9.9 , - , - , - , - , 14.1 , 14.1 , 13.9 , 15.3 , 15.4 , 13.5 , 20 , 19 , 21.9 , 21.4 , 22.4 , 22.4 , 27.1 , 21.3 , 23.3 ,
             Administrative & Support Services , 2.7 , - , - , - , - , 4.1 , - , - , - , - , 6.8 , - , - , - , - , 8.5 , 8.5 , 9.2 , 9.5 , 10.2 , 9.9 , 9.9 , 9.9 , 8.2 , 8.3 , 10 , 9.7 , 9.4 , 11.2 , 10.2 ,
"         Community, Social & Personal Services ", 24.5 , 29.5 , 28.4 , 29.2 , 27 , 28.6 , 31.5 , 34.7 , 38 , 37.3 , 34 , 40.7 , 39.8 , 42.4 , 42.4 , 40.4 , 41.3 , 42.6 , 43.8 , 42 , 45.8 , 46.9 , 50.5 , 50.2 , 52 , 54.6 , 54.3 , 57.8 , 59.6 , 57.8 ,
             Public Administration & Education , 14.4 , - , - , - , - , 14.4 , - , - , 19.3 , 18.5 , 17.6 , 19.6 , 20 , 21.7 , 21.4 , 20.2 , 19.9 , 19.9 , 22.3 , 20.9 , 23.9 , 25.4 , 27.5 , 28.7 , 28.5 , 30.2 , 31 , 33.7 , 34.4 , 33.6 ,
             Health & Social Services , 4.2 , - , - , - , - , 4.8 , - , - , 6.1 , 6.8 , 6.4 , 7.6 , 7.2 , 7.8 , 9.2 , 8.3 , 8.9 , 8.9 , 8.7 , 9.2 , 9.6 , 9.9 , 11.6 , 10.1 , 11.6 , 11.3 , 11.3 , 13.1 , 12.9 , 13.2 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 3.7 , 3.1 , 3.8 , 3.8 , 4 , 4.3 , 4.7 , 3.6 , 4.1 , 4.8 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 13.5 , 12.6 , 12.9 , 11.8 , - , - , - , - , - , 8.6 , 8.5 , 7.6 , 7.6 , 7.9 , 8.8 , 7.3 , 7.4 , 8.2 , 6.2 ,
     Other Industries Nes * , 3.1 , 1.6 , 1.8 , 2.5 , 2.1 , 4.1 , 1.3 , 2.7 , 2.3 , 2.6 , 2.2 , 2.4 , 1.6 , 1.9 , 2 , 2.5 , 2.7 , 2.9 , 3 , 2.7 , 4.8 , 2.3 , 3 , 3.7 , 2.7 , 2.7 , 2.2 , 2.9 , 2.5 , 2.8 ,
 Employed Residents Aged 45 - 49 Years , 88.1 , 95.8 , 108.6 , 126.7 , 138.3 , 152.4 , 173.8 , 182.9 , 187.6 , 187.2 , 185.5 , 203.3 , 207.4 , 215.9 , 226.8 , 224.1 , 253 , 249.5 , 253.7 , 249.3 , 258.8 , 260.8 , 261.5 , 258.3 , 245.9 , 251 , 251 , 264.2 , 261.7 , 273.8 ,
     Manufacturing , 18.8 , 22.2 , 24.3 , 31.2 , 32.4 , 33.9 , 41.9 , 42.9 , 43 , 43 , 38.5 , 41.3 , 41.8 , 43.1 , 44 , 38.6 , 45.9 , 43.6 , 47.7 , 42.2 , 43.8 , 46.8 , 44.9 , 45.4 , 36 , 37.1 , 33.8 , 35.2 , 33.7 , 33.5 ,
     Construction , 5.9 , 7.3 , 7.4 , 9.6 , 10.3 , 10.7 , 13.8 , 15.5 , 15.4 , 13.6 , 12.3 , 15.2 , 16.8 , 16.8 , 16.9 , 14.8 , 18.4 , 20.6 , 21 , 21.7 , 19.8 , 19.3 , 19 , 16.8 , 14.5 , 16.5 , 14.3 , 14.4 , 15.3 , 13 ,
     Services , 61.1 , 64.8 , 75.2 , 84 , 93.8 , 104.6 , 115.5 , 121.9 , 126.8 , 128.2 , 132.6 , 144.2 , 146.7 , 154.1 , 163.8 , 167.8 , 185.5 , 181.8 , 182 , 182.1 , 189.8 , 191.9 , 193.7 , 192.8 , 193.2 , 195.1 , 200.6 , 212.4 , 210.1 , 224.7 ,
         Wholesale & Retail Trade * , 15.8 , 26.5 , 30.2 , 34.8 , 37.3 , 23.2 , 45.3 , 44.6 , 30.5 , 30.3 , 31.8 , 34.4 , 33.7 , 36 , 40.6 , 41.9 , 46 , 40.9 , 40.3 , 40 , 40.8 , 45.6 , 42.6 , 44.3 , 44.7 , 49 , 49.6 , 46.8 , 45.6 , 48.5 ,
         Transportation & Storage * , 11.4 , 11.5 , 13.8 , 16.7 , 18.4 , 18.9 , 25.3 , 26.1 , 26.3 , 26.9 , 25.1 , 31.2 , 28.7 , 30.7 , 31.8 , 28.4 , 29.8 , 30 , 29.6 , 27.6 , 27.9 , 27.5 , 26.9 , 24.3 , 23.1 , 19.5 , 21.5 , 23.3 , 23.5 , 25.1 ,
         Accommodation & Food Services , 8.8 , - , - , - , - , 15 , - , - , 17.3 , 15.3 , 15.1 , 16.6 , 17.5 , 17.2 , 17.6 , 17.5 , 20.5 , 18.3 , 17.9 , 16.9 , 17.6 , 18.2 , 17.4 , 14.4 , 14.4 , 14.1 , 14.1 , 14.3 , 13.1 , 12.9 ,
         Information & Communications , 0.9 , - , - , - , - , 2.7 , - , - , - , - , 4.4 , - , - , - , - , 5.5 , 6.4 , 8.2 , 8.3 , 8.1 , 9.4 , 7.7 , 8.2 , 8.9 , 8.8 , 9.5 , 8.9 , 11.2 , 12.5 , 12.7 ,
         Financial & Insurance Services * , 2.5 , 8 , 10.3 , 10.5 , 13.5 , 5 , 17.2 , 20 , 7.3 , 7.1 , 7.6 , 9.4 , 8.9 , 8.7 , 10 , 11.2 , 11.6 , 11.5 , 13.5 , 12.8 , 12.3 , 14.9 , 15.9 , 14 , 18.5 , 18.3 , 21.2 , 22.3 , 23.6 , 25.8 ,
         Business Services , 6.6 , - , - , - , - , 13.3 , - , - , 15.6 , 17.8 , 19.7 , 18.8 , 22.1 , 22.2 , 25.5 , 25.9 , 27.9 , 28.3 , 28.6 , 30.7 , 33.6 , 33.1 , 34.1 , 36.3 , 35.6 , 36.3 , 36.5 , 41.3 , 38.5 , 42.1 ,
             Real Estate Services , 3.2 , - , - , - , - , 5 , - , - , - , - , 6.3 , - , - , - , - , 6.5 , 6.7 , 6 , 6.8 , 7 , 6 , 5.8 , 6.7 , 6.2 , 7.5 , 6.4 , 6.2 , 6.8 , 6.9 , 5.9 ,
             Professional Services , 2 , - , - , - , - , 5.2 , - , - , - , - , 6.9 , - , - , - , - , 10.4 , 10.3 , 10.7 , 11.3 , 12.7 , 13.3 , 15.9 , 16.2 , 18.9 , 17.7 , 18 , 19.3 , 21.5 , 20.4 , 23 ,
             Administrative & Support Services , 1.5 , - , - , - , - , 3 , - , - , - , - , 6.5 , - , - , - , - , 9 , 10.9 , 11.6 , 10.5 , 11 , 14.3 , 11.4 , 11.2 , 11.2 , 10.4 , 11.9 , 11 , 13 , 11.2 , 13.2 ,
"         Community, Social & Personal Services ", 15.1 , 18.8 , 20.9 , 22 , 24.6 , 26.4 , 27.7 , 31.2 , 29.8 , 30.8 , 28.9 , 33.9 , 35.7 , 39.3 , 38.2 , 37.4 , 43.3 , 44.6 , 43.7 , 46 , 48.2 , 44.9 , 48.6 , 50.7 , 48.1 , 48.5 , 48.9 , 53.2 , 53.3 , 57.6 ,
             Public Administration & Education , 8 , - , - , - , - , 13.9 , - , - , 14.6 , 15.2 , 14.1 , 14.8 , 16.2 , 19 , 18.3 , 18.1 , 20.4 , 20.6 , 20.4 , 22.5 , 24.9 , 22.4 , 24.1 , 25.6 , 26.5 , 24.7 , 25.4 , 26.2 , 28.5 , 33 ,
             Health & Social Services , 3.3 , - , - , - , - , 4.8 , - , - , 4.8 , 4.9 , 5.9 , 7.6 , 7.7 , 7.6 , 7.5 , 8.6 , 10.2 , 9.6 , 8.9 , 9.5 , 9.4 , 9.7 , 10.5 , 11.4 , 11.2 , 11.3 , 11.8 , 13.5 , 12.6 , 13.2 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 3.4 , 3.6 , 3.7 , 3.7 , 2.5 , 4.1 , 3.3 , 4.3 , 4.2 , 3.4 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 11.5 , 11.8 , 12.7 , 12.4 , - , - , - , - , - , 10.5 , 9.2 , 10.3 , 10 , 7.9 , 8.4 , 8.4 , 9.2 , 8 , 8 ,
     Other Industries Nes * , 2.3 , 1.5 , 1.7 , 2 , 1.9 , 3.2 , 2.5 , 2.6 , 2.3 , 2.4 , 2.1 , 2.6 , 2.2 , 2 , 2.3 , 2.8 , 3.2 , 3.6 , 3 , 3.3 , 5.3 , 2.9 , 3.9 , 3.3 , 2.2 , 2.2 , 2.3 , 2.2 , 2.6 , 2.6 ,
 Employed Residents Aged 50 - 54 Years , 71.8 , 84.5 , 88.7 , 88.4 , 90 , 83.4 , 86.7 , 104.9 , 114.7 , 123.9 , 132.7 , 154.5 , 160.6 , 167.5 , 172.8 , 175.1 , 203.2 , 209.9 , 217.7 , 221.9 , 227.4 , 238.4 , 241.2 , 248 , 254.6 , 255.4 , 253.9 , 244.3 , 251.1 , 247 ,
