" Subject: Labour, Employment, Wages and Productivity "
 Topic : Employment 
" Title  : M182131 - Employed Residents Aged 15 Years And Over By Industry And Age Group, (June), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Thousand
 Variables , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
"             Arts, Entertainment & Recreation ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 32.9 , 33.7 , 39 , 37.2 , 35.1 , 37 , 40.4 , 35.2 , 37.7 , 34.3 ,
"             Other Community, Social & Personal Services ", na , na , na , na , na , na , na , na , na , na , na , 79.7 , 80.4 , 77.7 , 78.8 , - , - , - , - , - , 65.8 , 65.7 , 65.3 , 69.3 , 66.3 , 67.1 , 64.9 , 65.5 , 67.1 , 64.1 ,
     Other Industries Nes * , 19.4 , 11.2 , 12.7 , 11.7 , 12.9 , 23.3 , 10.3 , 15.2 , 13.6 , 14.7 , 13.3 , 14.1 , 13.3 , 13.8 , 13.7 , 17.8 , 22.5 , 20.7 , 22.7 , 20.9 , 37.6 , 23.5 , 26.5 , 26.8 , 24.8 , 23.3 , 20.2 , 21.7 , 21.6 , 23.5 ,
 Employed Residents Aged 15 - 19 Years , 53.6 , 63.8 , 57.9 , 49.7 , 42.6 , 32.4 , 37.3 , 31.2 , 26.8 , 30.6 , 26 , 30.6 , 22.1 , 23.3 , 25.1 , 20.3 , 28.8 , 33.4 , 31.5 , 27.5 , 37 , 31 , 30.9 , 28.9 , 28.5 , 36.9 , 34.9 , 32.6 , 35.3 , 32.6 ,
     Manufacturing , 11.4 , 12.2 , 9.3 , 7.5 , 6.2 , 3 , 3.6 , 3 , 2.1 , 2.2 , 1.4 , 1.5 , 1 , 1.1 , 1.3 , 0.9 , 1.3 , 0.9 , 1.1 , 0.3 , 0.7 , 0.7 , 1.2 , 0.8 , 0.7 , 1.4 , 0.9 , 1.1 , 0.8 , 0.8 ,
     Construction , 1 , 1.7 , 1.4 , 1.4 , 1 , 0.5 , 0.5 , 0.5 , 0.3 , 0.5 , 0.2 , 0.3 , 0.3 , 0.1 , 0.3 , 0.1 , 0.1 , 0.3 , 0.2 , 0.3 , 0.1 , 0.2 , 0.3 , 0.1 , 0.1 , 0.4 , 0.3 , 0.2 , 0.1 , 0.4 ,
     Services , 41.1 , 49.9 , 47 , 40.8 , 35.4 , 28.7 , 33.3 , 27.6 , 24.5 , 27.7 , 24.3 , 28.6 , 20.7 , 22.1 , 23.5 , 19.3 , 27.4 , 32.2 , 30.2 , 26.9 , 35.9 , 30 , 29.3 , 27.9 , 27.7 , 34.9 , 33.7 , 31.2 , 34.2 , 31.2 ,
         Wholesale & Retail Trade * , 7.7 , 14.9 , 15.4 , 13.9 , 11.6 , 4.7 , 10.1 , 8.6 , 3.9 , 4.1 , 3.7 , 4.9 , 3.6 , 4.2 , 5 , 3.3 , 5.2 , 5.6 , 5.4 , 3.9 , 5.1 , 5 , 4.1 , 3.9 , 3.7 , 4.7 , 4.6 , 3.6 , 3.9 , 3.7 ,
         Transportation & Storage * , 1.9 , 2.8 , 2.8 , 2.3 , 2 , 1.3 , 1.9 , 1.6 , 1 , 1.2 , 0.7 , 1.4 , 0.7 , 0.5 , 0.8 , 0.5 , 0.7 , 1 , 0.9 , 0.4 , 0.8 , 0.7 , 0.8 , 0.6 , 0.6 , 0.7 , 0.5 , 1 , 1.5 , 1.3 ,
         Accommodation & Food Services , 4.2 , - , - , - , - , 2.2 , - , - , 2.1 , 4.3 , 2.2 , 4.2 , 3.7 , 3.9 , 4.6 , 2.4 , 6.7 , 5.5 , 4.3 , 4.6 , 5.2 , 4.4 , 4.8 , 5.7 , 5.6 , 5.7 , 6 , 5.3 , 5.7 , 4.9 ,
